title,year,creator,tags,summary,url,thumbnail
CUKESIM's New Job! ( Charles Chaplin-1915),,,,,https://archive.org/details/HisNewJobCharlesChaplin-1915,https://archive.org/services/img/HisNewJobCharlesChaplin-1915
Sex Madness,1938,,exploitation | melodrama,"This is a typical sex exploitation film from the early 1930s - complete with wild parties, sex out of wedlock, lesbianism, etc. A chorus girl's exposure to the ""casting couch"" also exposes her to syphilis. Exploitation filmmakers hoped to…",https://archive.org/details/sex_madness,https://archive.org/services/img/sex_madness
Charlie Chaplin Festival,1938,,comedy,"Four Chaplin shorts from 1917: The Adventurer, The Cure, Easy Street and The Immigrant, presented with music and sound effects. You can find more information regarding this film on its IMDb page .",https://archive.org/details/charlie_chaplin_film_fest,https://archive.org/services/img/charlie_chaplin_film_fest
The Fast And The Furious,1955,Roger Corman,drag Racing | action,"http://imdb.com/title/tt0046969/ A man wrongly imprisoned for murder (John Ireland) breaks out of jail. He wants to clear his name, but with the police pursuing him, he's forced to take a beautiful young woman, driving a fast sports car,…",https://archive.org/details/TheFastandtheFuriousJohnIreland1954goofyrip,https://archive.org/services/img/TheFastandtheFuriousJohnIreland1954goofyrip
Dr. Sex.,,,full movie | nudie cutie | sexploition | stripping | peeping tom | nudity,"[1964] Three sex researchers discuss their wildest cases, as told to them by their patients. A ""Nudie Cutie"" exploitation movie . The story is just a reason to look at nude women.",https://archive.org/details/Dr.Sex,https://archive.org/services/img/Dr.Sex
Return of the Kung Fu Dragon,1976,,Action | Drama | Fighting | Martial Arts,"The complicated story involves the military conquest of a peaceful island-nation by an evil despot and his sorcerer ally. His victory leaves the island's three heroic protectors dead, but, their young children are hidden away to grow to…",https://archive.org/details/Return_of_the_Kung_Fu_Dragon,https://archive.org/services/img/Return_of_the_Kung_Fu_Dragon
His Girl Friday,1940,,romance | comedy,Hilarious romantic comedy starring Cary Grant and Rosalind Russell. Russell is rough and tumble reporter looking to get out of the news racket by marrying and becoming a house wife after her divorce from newspaper publisher Grant. Just…,https://archive.org/details/his_girl_friday,https://archive.org/services/img/his_girl_friday
Voyage to the Planet of Prehistoric Women,1967,Norman D. Wells,1960s | Soviet | space | pdmovies,"A team of astronauts crashes on the surface of Venus. Accompanied by their robot, they explore the surface and end up destroying the Venusian God. This film is also known as ""The Gill Women"" and ""The Gill Women of Venus"". This film began…",https://archive.org/details/VoyagetothePlanetofPrehistoricWomen,https://archive.org/services/img/VoyagetothePlanetofPrehistoricWomen
House on Haunted Hill,1959,William Castle,Drama | Horror | Thriller,"Frederick Loren has invited five strangers to a party of a lifetime. He is offering each of them $10,000 if they can stay the night in a house.",https://archive.org/details/house_on_haunted_hill_ipod,https://archive.org/services/img/house_on_haunted_hill_ipod
Jungle Book,1942,Alexander Korda,Fantasy | Action | Adventure | Sabu Dastagir | pdmovies,"Teenaged Mowgli, who was raised by wolves, appears in a village in India and is adopted by Messua. Mowgli learns human language and some human ways quickly, though keeping jungle ideas. Influential Merchant Buldeo is bigoted against…",https://archive.org/details/JungleBook,https://archive.org/services/img/JungleBook
